date;open ;high;low ;close ;volume ;marcap
1245;7806.71;8871.75;7786.05;8801.04;60201052203;161522000000
1246;8797.67;9440.65;8533.26;8658.55;66964629541;158922000000
1247;8672.78;9048.02;8667.76;8864.77;44068389997;162723000000
1248;8869.06;9007.19;8811.37;8988.60;40134388683;165012000000
1249;8983.61;9167.78;8830.97;8897.47;47101785174;163358000000
1250;8895.74;8956.91;8645.02;8912.65;45718796276;163654000000
1251;8912.83;9062.41;8856.83;9003.07;43148462663;165332000000
1252;9007.44;9411.47;8966.71;9268.76;49371886931;170230000000
1253;9261.90;9992.66;9138.32;9951.52;61112700562;182787000000
1254;9936.16;9996.74;9767.17;9842.67;51780748042;180805000000
1255;9840.91;9913.86;9580.64;9593.90;46566121841;176251000000
1256;9591.17;9595.58;8395.11;8756.43;63325279337;160885000000
1257;8755.54;9033.47;8374.32;8601.80;57119858802;158059000000
1258;8610.39;8949.90;8569.64;8804.48;42142717533;161792000000
1259;8805.39;9317.88;8805.39;9269.99;45558144023;170353000000
1260;9271.33;9793.27;9255.03;9733.72;56426907637;178882000000
1261;9734.29;9755.83;9261.40;9328.20;48158802327;171436000000
1262;9333.24;9564.20;9260.69;9377.01;36164766408;172341000000
1263;9374.93;9823.00;9349.55;9670.74;40084250663;177745000000
1264;9675.69;9906.03;9570.36;9726.57;41827139896;178779000000
1265;9727.06;9836.05;9539.62;9729.04;39254288955;178832000000
1266;9725.33;9804.79;9447.20;9522.98;36546239703;175051000000
1267;9522.74;9555.24;8869.93;9081.76;39326160532;166948000000
1268;9080.33;9232.94;9008.64;9182.58;29810773699;168808000000
1269;9185.06;9302.50;9118.11;9209.29;27727866812;169305000000
1270;9212.28;9288.40;8787.25;8790.37;32518803300;161610000000
1271;8786.11;8951.01;8719.67;8906.93;31288157264;163760000000
1272;8909.59;8991.97;8757.29;8835.05;29584186947;162446000000
1273;8837.38;9203.32;8834.16;9181.02;32740536902;168815000000
1274;9184.94;9546.32;9148.46;9525.75;34367073114;175161000000
1275;9528.36;9573.67;9379.34;9439.12;32896642044;173576000000
1276;9438.91;9704.03;9366.73;9700.41;32722975141;178390000000
1277;9700.11;9700.34;9432.30;9461.06;27773290299;173997000000
1278;9463.61;10199.56;9450.90;10167.27;35198901068;186993000000
1279;10162.97;10182.34;9460.57;9529.80;39137252109;175277000000
1280;9533.76;9682.86;9471.85;9656.72;25007459262;177620000000
1281;9655.85;9887.61;9525.25;9800.64;25921805072;180276000000
1282;9800.22;9869.24;9663.22;9665.53;23509628646;177802000000
1283;9664.90;9773.43;9591.02;9653.68;20438419222;177596000000
1284;9653.00;9768.50;9458.15;9758.85;25015250846;179540000000
1285;9760.06;9782.31;9675.89;9771.49;21486346312;179783000000
1286;9774.36;9836.37;9664.72;9795.70;23717842783;180238000000
1287;9794.12;9908.90;9728.29;9870.09;25706567601;181617000000
1288;9870.08;9938.30;9263.07;9321.78;30247143440;171538000000
1289;9320.69;9540.47;9285.85;9480.84;22610564515;174475000000
1290;9480.74;9493.21;9396.01;9475.28;17564322315;174382000000
1291;9477.55;9482.27;9347.59;9386.79;18991732746;172763000000
1292;9386.04;9504.86;8990.18;9450.70;26699704768;173948000000
1293;9454.27;9579.43;9400.45;9538.02;21565537209;175564000000
1294;9533.78;9540.42;9327.34;9480.26;20177709879;174509000000
1295;9481.57;9482.78;9328.40;9411.84;17770083003;173257000000
1296;9410.29;9440.88;9274.30;9288.02;19632223107;170986000000
1297;9290.96;9394.97;9247.38;9332.34;17130541557;171809000000
1298;9330.93;9401.11;9300.43;9303.63;15324301169;171289000000
1299;9300.92;9655.07;9296.87;9648.72;21104009514;177651000000
1300;9644.08;9670.54;9547.25;9629.66;17006433272;177310000000
1301;9632.15;9680.37;9278.23;9313.61;18961716076;171499000000
1302;9314.13;9340.16;9095.32;9264.81;18616048626;170608000000
1303;9260.99;9310.52;9101.74;9162.92;18341465837;168741000000
1304;9167.82;9207.81;8998.22;9045.39;17273093144;166585000000
1305;9048.46;9197.55;8975.53;9143.58;14560870760;168402000000
1306;9140.03;9237.57;9041.88;9190.85;16460547078;169281000000
1307;9185.58;9217.84;9084.84;9137.99;15735797744;168316000000
1308;9145.99;9309.75;9104.73;9228.33;15971550355;169989000000
1309;9231.14;9274.96;9036.62;9123.41;16338916796;168066000000
1310;9124.84;9202.34;9058.79;9087.30;13078970999;167410000000
1311;9084.23;9183.30;9053.63;9132.49;12290528515;168251000000
1312;9126.09;9162.18;8977.02;9073.94;12903406143;167182000000
1313;9072.85;9375.47;9058.66;9375.47;17889263252;172746000000
1314;9349.16;9360.62;9201.82;9252.28;13839652595;170485000000
